StudentID,Gender,Grade10AvgMarks,Grade11AvgMarks
S00001,Male,49.97,32.99
S00002,Female,74.67,81.67
S00003,Male,56.27,99.44
S00004,Male,8.33,84.08
S00005,Male,18.56,34.61
S00006,Female,21.93,71.13
S00007,Male,25.79,53.39
S00008,Male,56.54,78.65
S00009,Male,50.4,15.31
S00010,Female,20.32,63.81
S00011,Male,6.76,77.37
S00012,Male,17.14,76.12
S00013,Male,98.44,96.36
S00014,Male,46.85,5.84
S00015,Female,86.73,34.58
S00016,Male,84.88,47.66
S00017,Female,51.15,30.98
S00018,Female,70.67,30.98
S00019,Female,19.28,17.61
S00020,Male,68.84,81.3
S00021,Female,27.24,90.81
S00022,Male,83.21,8.23
S00023,Female,8.37,15.49
S00024,Female,77.31,22.85
S00025,Female,9.99,50.9
S00026,Female,88.12,79.12
S00027,Female,30.42,7.15
S00028,Female,65.44,63.68
S00029,Female,48.75,14.93
S00030,Female,36.63,97.15
S00031,Male,64.54,89.88
S00032,Male,94.75,94.96
S00033,Female,4.13,10.62
S00034,Female,91.89,48.8
S00035,Female,60.91,16.52
S00036,Male,80.73,60.04
S00037,Female,38.39,23.27
S00038,Male,47.18,77.06
S00039,Male,86.89,64.4
S00040,Male,41.48,57.16
S00041,Male,53.47,82.52
S00042,Male,2.02,50.03
S00043,Female,15.86,26.99
S00044,Female,64.17,62.07
S00045,Female,71.7,95.71
S00046,Female,58.26,60.12
S00047,Female,14.33,62.96
S00048,Male,44.54,93.48
S00049,Female,35.51,51.53
S00050,Female,49.57,99.64
S00051,Male,87.03,15.97
S00052,Female,77.59,53.7
S00053,Male,8.4,21.29
S00054,Female,89.03,45.33
S00055,Male,47.18,17.06
S00056,Female,74.39,22.25
S00057,Female,14.0,21.08
S00058,Male,67.07,32.0
S00059,Male,23.63,13.46
S00060,Male,43.84,80.93
S00061,Male,1.69,22.07
S00062,Male,15.16,41.66
S00063,Male,9.21,1.61
S00064,Male,23.97,10.49
S00065,Male,10.0,89.63
S00066,Female,69.19,83.72
S00067,Female,2.9,84.09
S00068,Male,61.77,41.14
S00069,Female,14.07,14.15
S00070,Female,94.52,10.79
S00071,Female,93.31,60.56
S00072,Female,22.55,82.82
S00073,Male,61.44,90.01
S00074,Female,2.8,28.87
S00075,Male,93.18,32.1
S00076,Female,52.3,10.09
S00077,Female,4.32,77.44
S00078,Female,34.25,27.57
S00079,Male,7.68,48.09
S00080,Female,39.29,92.89
S00081,Male,66.99,75.22
S00082,Female,46.99,5.27
S00083,Male,38.37,0.82
S00084,Female,11.92,78.74
S00085,Male,24.49,55.25
S00086,Male,10.01,72.03
S00087,Female,80.75,15.68
S00088,Male,13.52,87.2
S00089,Female,59.54,77.33
S00090,Female,34.27,89.08
S00091,Female,22.6,34.11
S00092,Female,63.95,27.57
S00093,Female,45.7,15.17
S00094,Female,40.01,93.01
S00095,Female,59.29,17.68
S00096,Female,49.13,11.93
S00097,Female,30.35,19.27
S00098,Female,55.91,77.14
S00099,Female,66.95,88.95
S00100,Male,2.67,81.09
S00101,Male,46.59,56.32
S00102,Female,5.77,99.39
S00103,Female,18.64,6.89
S00104,Female,56.05,86.72
S00105,Female,86.62,42.77
S00106,Female,88.28,45.51
S00107,Female,6.99,12.76
S00108,Female,41.91,3.34
S00109,Female,58.3,31.66
S00110,Male,14.71,17.49
S00111,Female,76.54,48.33
S00112,Male,74.42,14.73
S00113,Female,90.33,13.79
S00114,Female,0.85,87.7
S00115,Male,21.67,92.13
S00116,Female,82.72,96.42
S00117,Male,67.06,68.05
S00118,Female,89.44,77.1
S00119,Female,5.72,83.58
S00120,Male,59.7,65.89
S00121,Female,56.9,33.02
S00122,Male,3.57,15.64
S00123,Female,51.35,23.73
S00124,Male,60.95,84.04
S00125,Male,19.13,69.61
S00126,Female,27.33,45.58
S00127,Female,64.03,2.94
S00128,Male,46.83,26.62
S00129,Female,85.8,72.89
S00130,Female,34.24,51.24
S00131,Female,26.67,43.55
S00132,Male,98.49,31.37
S00133,Male,91.11,60.69
S00134,Male,2.9,96.64
S00135,Male,77.07,90.11
S00136,Male,11.03,3.05
S00137,Male,2.75,48.1
S00138,Male,27.37,32.95
S00139,Male,26.93,51.06
S00140,Male,81.93,60.62
S00141,Female,71.07,20.0
S00142,Male,98.16,78.16
S00143,Female,71.15,47.51
S00144,Female,41.83,99.2
S00145,Female,69.89,2.51
S00146,Male,99.95,18.97
S00147,Male,71.01,68.96
S00148,Male,76.17,69.52
S00149,Male,93.84,58.22
S00150,Female,11.37,97.2
S00151,Male,70.48,41.53
S00152,Male,85.08,41.7
S00153,Male,95.44,91.05
S00154,Male,21.1,53.84
S00155,Male,50.39,35.37
S00156,Female,68.06,71.89
S00157,Male,24.75,61.97
S00158,Female,60.05,30.64
S00159,Male,25.76,29.79
S00160,Female,33.35,39.56
S00161,Male,44.15,7.16
S00162,Male,52.92,94.26
S00163,Female,44.94,18.3
S00164,Female,49.32,19.38
S00165,Female,29.86,64.7
S00166,Male,15.9,72.42
S00167,Female,4.73,73.68
S00168,Male,19.6,37.51
S00169,Male,58.19,87.33
S00170,Female,78.61,54.4
S00171,Female,16.92,43.86
S00172,Male,10.86,81.04
S00173,Male,74.93,24.36
S00174,Female,30.52,86.02
S00175,Female,95.15,53.88
S00176,Female,71.43,90.01
S00177,Male,32.68,20.16
S00178,Male,28.95,93.61
S00179,Male,52.37,68.79
S00180,Male,7.91,61.83
S00181,Male,11.77,42.21
S00182,Male,17.59,95.63
S00183,Female,77.47,44.39
S00184,Male,51.39,49.85
S00185,Male,1.06,78.15
S00186,Male,67.35,28.48
S00187,Female,42.37,29.15
S00188,Male,51.09,77.53
S00189,Male,21.41,12.86
S00190,Female,55.18,82.3
S00191,Male,97.92,62.52
S00192,Male,7.34,53.91
S00193,Male,28.39,22.91
S00194,Male,24.3,78.64
S00195,Male,24.85,80.5
S00196,Female,37.87,48.29
S00197,Female,81.81,38.92
S00198,Female,91.29,24.62
S00199,Male,20.22,75.42
S00200,Male,54.29,63.95
S00201,Male,63.69,20.66
S00202,Female,52.18,79.45
S00203,Male,43.41,88.22
S00204,Male,19.2,5.92
S00205,Female,48.82,77.24
S00206,Male,40.12,85.28
S00207,Female,79.56,99.15
S00208,Female,76.36,23.76
S00209,Female,13.4,37.1
S00210,Male,8.85,96.62
S00211,Male,90.82,9.4
S00212,Male,53.55,52.37
S00213,Male,85.78,50.67
S00214,Male,5.82,60.65
S00215,Male,52.65,33.08
S00216,Male,53.94,92.59
S00217,Female,86.07,27.01
S00218,Male,9.76,64.97
S00219,Female,24.04,49.59
S00220,Male,40.65,26.67
S00221,Male,86.58,18.89
S00222,Male,93.89,95.66
S00223,Female,99.27,56.13
S00224,Female,95.92,60.42
S00225,Female,0.59,78.29
S00226,Female,4.77,8.12
S00227,Male,14.76,71.38
S00228,Female,34.89,16.51
S00229,Male,82.99,74.05
S00230,Male,89.27,14.13
S00231,Female,18.68,83.25
S00232,Female,61.97,68.1
S00233,Female,91.74,38.59
S00234,Female,46.37,35.88
S00235,Female,10.35,14.89
S00236,Female,45.78,90.41
S00237,Female,37.58,11.85
S00238,Female,57.77,47.21
S00239,Male,43.87,23.65
S00240,Female,1.73,99.63
S00241,Female,99.4,58.58
S00242,Male,54.35,14.96
S00243,Female,47.36,66.76
S00244,Male,95.46,99.16
S00245,Male,15.59,60.5
S00246,Female,18.92,45.74
S00247,Male,80.8,29.33
S00248,Male,26.08,9.21
S00249,Male,79.92,22.82
S00250,Male,27.15,55.36
S00251,Female,3.32,75.38
S00252,Male,51.7,87.79
S00253,Female,19.67,79.37
S00254,Male,75.78,12.55
S00255,Male,64.12,77.35
S00256,Male,92.36,58.16
S00257,Male,78.3,46.91
S00258,Female,18.08,57.28
S00259,Female,80.02,0.81
S00260,Male,64.17,6.77
S00261,Male,66.9,52.58
S00262,Female,83.23,17.36
S00263,Male,57.38,54.55
S00264,Male,46.6,35.42
S00265,Male,63.66,90.74
S00266,Female,29.8,94.97
S00267,Female,18.26,97.98
S00268,Female,61.66,89.89
S00269,Male,23.38,98.59
S00270,Male,7.99,70.61
S00271,Female,0.06,96.05
S00272,Female,60.83,64.18
S00273,Female,36.21,80.92
S00274,Female,75.23,13.19
S00275,Male,37.52,68.26
S00276,Female,48.6,93.11
S00277,Male,40.71,54.0
S00278,Female,65.06,18.68
S00279,Male,35.61,52.69
S00280,Female,96.38,70.69
S00281,Female,93.61,76.98
S00282,Female,84.8,52.37
S00283,Female,92.03,21.74
S00284,Male,44.91,92.67
S00285,Female,53.64,77.36
S00286,Male,74.21,27.07
S00287,Male,69.61,81.18
S00288,Male,89.07,34.79
S00289,Male,71.63,31.24
S00290,Female,99.79,86.31
S00291,Male,34.85,87.32
S00292,Male,83.3,39.85
S00293,Male,69.76,0.89
S00294,Female,69.14,18.66
S00295,Female,32.58,90.93
S00296,Female,78.56,89.87
S00297,Female,90.04,45.33
S00298,Male,21.85,30.41
S00299,Male,62.55,30.27
S00300,Female,39.21,89.72
S00301,Male,98.95,32.47
S00302,Male,47.88,51.16
S00303,Male,22.83,73.1
S00304,Female,38.19,20.95
S00305,Female,65.38,25.38
S00306,Male,7.61,35.81
S00307,Female,60.36,65.42
S00308,Female,93.12,81.75
S00309,Female,85.04,54.67
S00310,Female,6.77,13.29
S00311,Female,99.34,44.62
S00312,Male,69.87,12.77
S00313,Female,16.23,8.83
S00314,Male,1.24,58.96
S00315,Male,17.13,95.62
S00316,Female,83.82,83.76
S00317,Male,2.16,77.45
S00318,Male,23.31,72.71
S00319,Male,75.73,89.71
S00320,Female,58.61,75.28
S00321,Female,78.27,62.69
S00322,Male,74.62,36.47
S00323,Female,5.06,10.09
S00324,Female,89.25,46.1
S00325,Female,22.7,92.48
S00326,Female,55.34,58.31
S00327,Male,64.43,18.45
S00328,Male,16.86,64.9
S00329,Female,97.62,46.55
S00330,Female,48.82,93.14
S00331,Male,5.76,16.09
S00332,Male,93.73,71.2
